#,datetime_BKK,direction,type,qty,balance,refType,note
1,10/06/2569 15:53:51,IN,ADJUST,240,240,MANUAL,
2,15/06/2569 17:36:11,OUT,OUT,-122,118,MANUAL,
3,15/06/2569 18:57:06,OUT,SALE,-1,117,TAB,
4,15/06/2569 18:57:08,OUT,SALE,-1,116,TAB,
5,15/06/2569 20:01:37,OUT,ADJUST,-1,115,ITEM_QTY,
6,15/06/2569 20:01:38,OUT,ADJUST,-1,114,ITEM_QTY,
7,15/06/2569 20:53:31,OUT,SALE,-2,112,QUICK_SALE,
8,15/06/2569 20:55:56,OUT,SALE,-1,111,TAB,
9,15/06/2569 20:56:01,OUT,ADJUST,-1,110,ITEM_QTY,
10,15/06/2569 20:56:03,OUT,ADJUST,-1,109,ITEM_QTY,
11,15/06/2569 20:56:04,OUT,ADJUST,-8,101,ITEM_QTY,
12,15/06/2569 20:56:04,OUT,ADJUST,-2,99,ITEM_QTY,
13,15/06/2569 20:56:05,OUT,ADJUST,-3,96,ITEM_QTY,
14,15/06/2569 20:56:06,OUT,ADJUST,-3,93,ITEM_QTY,
15,15/06/2569 20:56:06,OUT,ADJUST,-2,91,ITEM_QTY,
16,15/06/2569 20:56:07,OUT,ADJUST,-5,86,ITEM_QTY,
17,15/06/2569 20:56:08,OUT,ADJUST,-2,84,ITEM_QTY,
18,15/06/2569 20:56:08,IN,ADJUST,2,86,ITEM_QTY,
19,15/06/2569 20:56:10,OUT,ADJUST,-1,85,ITEM_QTY,
20,15/06/2569 20:56:11,OUT,ADJUST,-9,76,ITEM_QTY,
21,15/06/2569 20:56:12,OUT,ADJUST,-3,73,ITEM_QTY,
22,15/06/2569 20:56:12,OUT,ADJUST,-8,65,ITEM_QTY,
23,15/06/2569 20:56:13,OUT,ADJUST,-4,61,ITEM_QTY,
24,15/06/2569 20:56:14,IN,ADJUST,1,62,ITEM_QTY,
25,15/06/2569 20:56:14,IN,ADJUST,6,68,ITEM_QTY,
26,15/06/2569 20:56:36,OUT,SALE,-1,67,TAB,
27,15/06/2569 20:56:40,IN,VOID,1,68,ITEM_VOID,
28,15/06/2569 20:56:43,OUT,ADJUST,-1,67,ITEM_QTY,
29,15/06/2569 20:56:44,OUT,ADJUST,-1,66,ITEM_QTY,
30,15/06/2569 20:56:45,OUT,ADJUST,-2,64,ITEM_QTY,
31,15/06/2569 20:56:47,IN,ADJUST,1,65,ITEM_QTY,
32,15/06/2569 20:56:48,OUT,ADJUST,-1,64,ITEM_QTY,
33,15/06/2569 20:56:55,OUT,ADJUST,-1,63,ITEM_QTY,
34,15/06/2569 20:56:57,OUT,ADJUST,-1,62,ITEM_QTY,
35,15/06/2569 20:57:00,OUT,ADJUST,-1,61,ITEM_QTY,
36,15/06/2569 20:57:03,OUT,ADJUST,-1,60,ITEM_QTY,
37,15/06/2569 20:57:04,OUT,ADJUST,-1,59,ITEM_QTY,
38,15/06/2569 20:57:05,OUT,ADJUST,-1,58,ITEM_QTY,
39,15/06/2569 20:57:06,OUT,ADJUST,-1,57,ITEM_QTY,
40,15/06/2569 20:57:13,IN,VOID,15,72,ITEM_VOID,
41,15/06/2569 20:57:17,OUT,SALE,-1,71,TAB,
42,15/06/2569 20:57:19,OUT,SALE,-1,70,TAB,
43,15/06/2569 20:57:20,OUT,SALE,-1,69,TAB,
44,15/06/2569 20:57:21,OUT,SALE,-1,68,TAB,
45,15/06/2569 20:57:21,OUT,SALE,-1,67,TAB,
46,15/06/2569 20:57:22,OUT,SALE,-1,66,TAB,
47,15/06/2569 20:57:23,OUT,SALE,-1,65,TAB,
48,15/06/2569 20:57:23,OUT,SALE,-1,64,TAB,
49,15/06/2569 20:57:24,OUT,SALE,-1,63,TAB,
50,15/06/2569 20:57:25,OUT,SALE,-1,62,TAB,
51,15/06/2569 20:57:25,OUT,SALE,-1,61,TAB,
52,15/06/2569 20:57:26,OUT,SALE,-1,60,TAB,
53,15/06/2569 20:57:27,OUT,SALE,-1,59,TAB,
54,15/06/2569 20:57:27,OUT,SALE,-1,58,TAB,
55,15/06/2569 20:57:28,OUT,SALE,-1,57,TAB,
56,15/06/2569 20:57:29,OUT,SALE,-1,56,TAB,
57,15/06/2569 20:57:54,IN,VOID,1,57,ITEM_VOID,
58,15/06/2569 20:58:01,IN,VOID,1,58,ITEM_VOID,
59,15/06/2569 20:58:03,IN,VOID,1,59,ITEM_VOID,
60,15/06/2569 20:58:06,IN,VOID,1,60,ITEM_VOID,
61,15/06/2569 20:58:13,IN,VOID,1,61,ITEM_VOID,
62,15/06/2569 20:58:16,IN,VOID,1,62,ITEM_VOID,
63,15/06/2569 20:58:20,IN,VOID,1,63,ITEM_VOID,
64,15/06/2569 20:58:22,IN,VOID,1,64,ITEM_VOID,
65,15/06/2569 20:58:24,IN,VOID,1,65,ITEM_VOID,
66,15/06/2569 20:58:27,IN,VOID,1,66,ITEM_VOID,
67,15/06/2569 20:58:31,IN,VOID,1,67,ITEM_VOID,
68,15/06/2569 20:58:33,IN,VOID,1,68,ITEM_VOID,
69,15/06/2569 20:58:36,IN,VOID,1,69,ITEM_VOID,
70,15/06/2569 20:58:39,IN,VOID,1,70,ITEM_VOID,
71,15/06/2569 20:58:42,IN,VOID,1,71,ITEM_VOID,
